editor_name,base_form,path_texture,pseudo_path,name_nif
StonewallTerraceLong01,000009CC,Architecture\Farmhouse\Stonewall\StonewallTerraceLong01.NIF,architecture/farmhouse/stonewall/stonewallterracelong01.nif,stonewallterracelong01
StonewallTerraceStairs01,000009D0,Architecture\Farmhouse\Stonewall\StonewallTerraceStairs01.NIF,architecture/farmhouse/stonewall/stonewallterracestairs01.nif,stonewallterracestairs01
StonewallTerraceLong02,00000A6B,Architecture\Farmhouse\Stonewall\StonewallTerraceLong02.NIF,architecture/farmhouse/stonewall/stonewallterracelong02.nif,stonewallterracelong02
StonewallTerrace02,00000A6C,Architecture\Farmhouse\Stonewall\StonewallTerrace02.NIF,architecture/farmhouse/stonewall/stonewallterrace02.nif,stonewallterrace02
StonewallTerraceEndL01,00000A70,Architecture\Farmhouse\Stonewall\StonewallTerraceEndL01.NIF,architecture/farmhouse/stonewall/stonewallterraceendl01.nif,stonewallterraceendl01
StonewallTerraceRampDown01,00000A71,Architecture\Farmhouse\Stonewall\StonewallTerraceRampDown01.NIF,architecture/farmhouse/stonewall/stonewallterracerampdown01.nif,stonewallterracerampdown01
StonewallTerraceRampUp01,00000A72,Architecture\Farmhouse\Stonewall\StonewallTerraceRampUp01.NIF,architecture/farmhouse/stonewall/stonewallterracerampup01.nif,stonewallterracerampup01
StonewallTerraceEndR01,00000A73,Architecture\Farmhouse\Stonewall\StonewallTerraceEndR01.NIF,architecture/farmhouse/stonewall/stonewallterraceendr01.nif,stonewallterraceendr01
StonewallTerraceCorner01,00000A74,Architecture\Farmhouse\Stonewall\StonewallTerraceCorner01.NIF,architecture/farmhouse/stonewall/stonewallterracecorner01.nif,stonewallterracecorner01
LoadScreenDSSerpent01,00000DDC,LoadScreenArt\LoadScreenDSSerpent01.nif,loadscreenart/loadscreendsserpent01.nif,loadscreendsserpent01
LoadScreenDSShadow01,00000DDD,LoadScreenArt\LoadScreenDSShadow01.nif,loadscreenart/loadscreendsshadow01.nif,loadscreendsshadow01
LoadScreenDSSteed01,00000DDE,LoadScreenArt\LoadScreenDSSteed01.nif,loadscreenart/loadscreendssteed01.nif,loadscreendssteed01
LoadScreenDSTheif01,00000DDF,LoadScreenArt\LoadScreenDSTheif01.nif,loadscreenart/loadscreendstheif01.nif,loadscreendstheif01
LoadScreenDSTower01,00000DE0,LoadScreenArt\LoadScreenDSTower01.nif,loadscreenart/loadscreendstower01.nif,loadscreendstower01
LoadScreenDSWarrior01,00000DE1,LoadScreenArt\LoadScreenDSWarrior01.nif,loadscreenart/loadscreendswarrior01.nif,loadscreendswarrior01
LoadScreenDSApprentice01,00000DE2,LoadScreenArt\LoadScreenDSApprentice01.nif,loadscreenart/loadscreendsapprentice01.nif,loadscreendsapprentice01
LoadScreenDSAtronach01,00000DE3,LoadScreenArt\LoadScreenDSAtronach01.nif,loadscreenart/loadscreendsatronach01.nif,loadscreendsatronach01
LoadScreenDSBoethiah01,00000DE4,LoadScreenArt\LoadScreenDSBoethiah01.nif,loadscreenart/loadscreendsboethiah01.nif,loadscreendsboethiah01
LoadScreenDSLady01,00000DE5,LoadScreenArt\LoadScreenDSLady01.nif,loadscreenart/loadscreendslady01.nif,loadscreendslady01
LoadScreenDSLord01,00000DE6,LoadScreenArt\LoadScreenDSLord01.nif,loadscreenart/loadscreendslord01.nif,loadscreendslord01
LoadScreenDSLover01,00000DE7,LoadScreenArt\LoadScreenDSLover01.nif,loadscreenart/loadscreendslover01.nif,loadscreendslover01
LoadScreenDSMage01,00000DE8,LoadScreenArt\LoadScreenDSMage01.nif,loadscreenart/loadscreendsmage01.nif,loadscreendsmage01
LoadScreenDSRitual01,00000DE9,LoadScreenArt\LoadScreenDSRitual01.nif,loadscreenart/loadscreendsritual01.nif,loadscreendsritual01
LoadScreenMRaltar01,00000E87,LoadScreenArt\LoadScreenMRaltar01.nif,loadscreenart/loadscreenmraltar01.nif,loadscreenmraltar01
GenKitHallSm3way01,00013059,Dungeons\GenKit\GenKitHallSm3way01.nif,dungeons/genkit/genkithallsm3way01.nif,genkithallsm3way01
GenKitHallSm4way01,0001305A,Dungeons\GenKit\GenKitHallSm4way01.nif,dungeons/genkit/genkithallsm4way01.nif,genkithallsm4way01
GenKitRmCorIn01,0001305B,Dungeons\GenKit\GenKitRmCorIn01.nif,dungeons/genkit/genkitrmcorin01.nif,genkitrmcorin01
GenKitRmCorInExSmL01,0001305C,Dungeons\GenKit\GenKitRmCorInExSmL01.nif,dungeons/genkit/genkitrmcorinexsml01.nif,genkitrmcorinexsml01
GenKitRmCorInExSmR01,0001305D,Dungeons\GenKit\GenKitRmCorInExSmR01.nif,dungeons/genkit/genkitrmcorinexsmr01.nif,genkitrmcorinexsmr01
GenKitRmCorOut01,0001305E,Dungeons\GenKit\GenKitRmCorOut01.nif,dungeons/genkit/genkitrmcorout01.nif,genkitrmcorout01
GenKitRmMid01,0001305F,Dungeons\GenKit\GenKitRmMid01.nif,dungeons/genkit/genkitrmmid01.nif,genkitrmmid01
GenKitRmWall01,00013060,Dungeons\GenKit\GenKitRmWall01.nif,dungeons/genkit/genkitrmwall01.nif,genkitrmwall01
GenKitRmWallExSm01,00013061,Dungeons\GenKit\GenKitRmWallExSm01.nif,dungeons/genkit/genkitrmwallexsm01.nif,genkitrmwallexsm01
GenKitHallSm1way01,00013062,Dungeons\GenKit\GenKitHallSm1way01.nif,dungeons/genkit/genkithallsm1way01.nif,genkithallsm1way01
GenKitHallSm1wayExSm01,00013063,Dungeons\GenKit\GenKitHallSm1wayExSm01.nif,dungeons/genkit/genkithallsm1wayexsm01.nif,genkithallsm1wayexsm01
GenKitHallSm1wayExSmDbl01,00013064,Dungeons\GenKit\GenKitHallSm1wayExSmDbl01.nif,dungeons/genkit/genkithallsm1wayexsmdbl01.nif,genkithallsm1wayexsmdbl01
GenKitHallSm1wayExSmEnd01,00013065,Dungeons\GenKit\GenKitHallSm1wayExSmEnd01.nif,dungeons/genkit/genkithallsm1wayexsmend01.nif,genkithallsm1wayexsmend01
GenKitHallSm2way01,00013066,Dungeons\GenKit\GenKitHallSm2way01.nif,dungeons/genkit/genkithallsm2way01.nif,genkithallsm2way01
Farmhouse03,0001307A,Architecture\Farmhouse\Farmhouse03.nif,architecture/farmhouse/farmhouse03.nif,farmhouse03
Farmhouse04,0001307B,Architecture\Farmhouse\Farmhouse04.nif,architecture/farmhouse/farmhouse04.nif,farmhouse04
GenKitHallSm1wayStair256,000130BD,Dungeons\GenKit\GenKitHallSm1wayStair256.nif,dungeons/genkit/genkithallsm1waystair256.nif,genkithallsm1waystair256
GenKitRmStairWallL384,000130BE,Dungeons\GenKit\GenKitRmStairWallL384.nif,dungeons/genkit/genkitrmstairwalll384.nif,genkitrmstairwalll384
GenKitRmStairMid384,000130BF,Dungeons\GenKit\GenKitRmStairMid384.nif,dungeons/genkit/genkitrmstairmid384.nif,genkitrmstairmid384
GenKitRmStairWallR384,000130C0,Dungeons\GenKit\GenKitRmStairWallR384.nif,dungeons/genkit/genkitrmstairwallr384.nif,genkitrmstairwallr384
GenKitHallSm1wayStair128,000130C1,Dungeons\GenKit\GenKitHallSm1wayStair128.nif,dungeons/genkit/genkithallsm1waystair128.nif,genkithallsm1waystair128
TreePineForestLog01,00013250,Landscape\Trees\TreePineForestLog01.nif,landscape/trees/treepineforestlog01.nif,treepineforestlog01
TreePineForestStump01,00013251,Landscape\Trees\TreePineForestStump01.nif,landscape/trees/treepineforeststump01.nif,treepineforeststump01
NorHallSm2way01,000132FC,Dungeons\Nordic\SmHalls\NorHallSm2way01.nif,dungeons/nordic/smhalls/norhallsm2way01.nif,norhallsm2way01
NorHallSm1way01,000132FD,Dungeons\Nordic\SmHalls\NorHallSm1way01.nif,dungeons/nordic/smhalls/norhallsm1way01.nif,norhallsm1way01
DirtCliffs01,00013303,Landscape\DirtCliffs\DirtCliffs01.nif,landscape/dirtcliffs/dirtcliffs01.nif,dirtcliffs01
ImpLRoomDoorL01,0001344D,Dungeons\Imperial\LargeRoom\ImpLRoomDoorL01.nif,dungeons/imperial/largeroom/implroomdoorl01.nif,implroomdoorl01
ImpLRoomDoorL03,000134A6,Dungeons\Imperial\LargeRoom\ImpLRoomDoorL03.nif,dungeons/imperial/largeroom/implroomdoorl03.nif,implroomdoorl03
ImpLRoomDoorL04,000134A7,Dungeons\Imperial\LargeRoom\ImpLRoomDoorL04.nif,dungeons/imperial/largeroom/implroomdoorl04.nif,implroomdoorl04
ImpLRoomDoorL02,000134A8,Dungeons\Imperial\LargeRoom\ImpLRoomDoorL02.nif,dungeons/imperial/largeroom/implroomdoorl02.nif,implroomdoorl02
DirtCliffs02,000135E2,Landscape\DirtCliffs\DirtCliffs02.nif,landscape/dirtcliffs/dirtcliffs02.nif,dirtcliffs02
TreePineForestLog02,000136E8,Landscape\Trees\TreePineForestLog02.nif,landscape/trees/treepineforestlog02.nif,treepineforestlog02
TreePineForestStump02A,00013800,Landscape\Trees\TreePineForestStump02A.nif,landscape/trees/treepineforeststump02a.nif,treepineforeststump02a
TreePineForestStump02B,00013801,Landscape\Trees\TreePineForestStump02B.nif,landscape/trees/treepineforeststump02b.nif,treepineforeststump02b
NorHallSm1wayEndExSm01,00013815,Dungeons\Nordic\SmHalls\NorHallSm1wayEndExSm01.nif,dungeons/nordic/smhalls/norhallsm1wayendexsm01.nif,norhallsm1wayendexsm01
NorHallSm2way02,00013816,Dungeons\Nordic\SmHalls\NorHallSm2way02.nif,dungeons/nordic/smhalls/norhallsm2way02.nif,norhallsm2way02
NorHallSm3way01,00013817,Dungeons\Nordic\SmHalls\NorHallSm3way01.nif,dungeons/nordic/smhalls/norhallsm3way01.nif,norhallsm3way01
NorHallSm4way01,0001381D,Dungeons\Nordic\SmHalls\NorHallSm4way01.nif,dungeons/nordic/smhalls/norhallsm4way01.nif,norhallsm4way01
NorHallSm1wayEndCap01,0001384C,Dungeons\Nordic\SmHalls\NorHallSm1wayEndCap01.nif,dungeons/nordic/smhalls/norhallsm1wayendcap01.nif,norhallsm1wayendcap01
NorHallSm1wayExSmDbl01,0001384D,Dungeons\Nordic\SmHalls\NorHallSm1wayExSmDbl01.nif,dungeons/nordic/smhalls/norhallsm1wayexsmdbl01.nif,norhallsm1wayexsmdbl01
NorHallSm1wayExSm01,0001384E,Dungeons\Nordic\SmHalls\NorHallSm1wayExSm01.nif,dungeons/nordic/smhalls/norhallsm1wayexsm01.nif,norhallsm1wayexsm01
NorHallSm1wayStairs128,0001384F,Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128.nif,dungeons/nordic/smhalls/norhallsm1waystairs128.nif,norhallsm1waystairs128
DragonMarker,000138C0,Markers\Marker_DragonLanding.nif,markers/marker_dragonlanding.nif,marker_dragonlanding
NorHallBg1way01,000138C1,Dungeons\Nordic\BgHalls\NorHallBg1way01.nif,dungeons/nordic/bghalls/norhallbg1way01.nif,norhallbg1way01
DirtCliffsIsland01,00013974,Landscape\DirtCliffs\DirtCliffsIsland01.nif,landscape/dirtcliffs/dirtcliffsisland01.nif,dirtcliffsisland01
DirtCliffsCornerIn01,00013976,Landscape\DirtCliffs\DirtCliffsCornerIn01.nif,landscape/dirtcliffs/dirtcliffscornerin01.nif,dirtcliffscornerin01
DirtCliffsCornerOut01,00013A5B,Landscape\DirtCliffs\DirtCliffsCornerOut01.nif,landscape/dirtcliffs/dirtcliffscornerout01.nif,dirtcliffscornerout01
NorHallBg2way01,00013AFB,Dungeons\Nordic\BgHalls\NorHallBg2way01.nif,dungeons/nordic/bghalls/norhallbg2way01.nif,norhallbg2way01
NorHallBg3way01,00013B07,Dungeons\Nordic\BgHalls\NorHallBg3way01.nif,dungeons/nordic/bghalls/norhallbg3way01.nif,norhallbg3way01
NorHallBg4way01,00013B08,Dungeons\Nordic\BgHalls\NorHallBg4way01.nif,dungeons/nordic/bghalls/norhallbg4way01.nif,norhallbg4way01
TreePineForestUprooted01,00013B33,Landscape\Trees\TreePineForestUprooted01.nif,landscape/trees/treepineforestuprooted01.nif,treepineforestuprooted01
NorHallBg1wayStairs256,00013BEF,Dungeons\Nordic\BgHalls\NorHallBg1wayStairs256.nif,dungeons/nordic/bghalls/norhallbg1waystairs256.nif,norhallbg1waystairs256
NorHallBg1wayEndExSm01,00013BF0,Dungeons\Nordic\BgHalls\NorHallBg1wayEndExSm01.nif,dungeons/nordic/bghalls/norhallbg1wayendexsm01.nif,norhallbg1wayendexsm01
NorHallBg1wayEndCap01,00013BF1,Dungeons\Nordic\BgHalls\NorHallBg1wayEndCap01.nif,dungeons/nordic/bghalls/norhallbg1wayendcap01.nif,norhallbg1wayendcap01
NorHallBg1wayExSmDbl01,00013BF2,Dungeons\Nordic\BgHalls\NorHallBg1wayExSmDbl01.nif,dungeons/nordic/bghalls/norhallbg1wayexsmdbl01.nif,norhallbg1wayexsmdbl01
NorHallBg1wayExSm01,00013BF3,Dungeons\Nordic\BgHalls\NorHallBg1wayExSm01.nif,dungeons/nordic/bghalls/norhallbg1wayexsm01.nif,norhallbg1wayexsm01
NorHallExSmExtension01,00013BFC,Dungeons\Nordic\BgHalls\NorHallExSmExtension01.nif,dungeons/nordic/bghalls/norhallexsmextension01.nif,norhallexsmextension01
NorHallSm3wayExSm01,00013C45,Dungeons\Nordic\SmHalls\NorHallSm3wayExSm01.nif,dungeons/nordic/smhalls/norhallsm3wayexsm01.nif,norhallsm3wayexsm01
FarmIntWall01,00013C76,Architecture\Farmhouse\Interior\FarmIntWall01.nif,architecture/farmhouse/interior/farmintwall01.nif,farmintwall01
FarmIntEnd01,00013C7E,Architecture\Farmhouse\Interior\FarmIntEnd01.nif,architecture/farmhouse/interior/farmintend01.nif,farmintend01
FarmIntDoorway01,00013E87,Architecture\Farmhouse\Interior\FarmIntDoorway01.nif,architecture/farmhouse/interior/farmintdoorway01.nif,farmintdoorway01
1stPersonSteelDagger,00013EB7,Weapons\Steel\1stPersonSteelDagger.nif,weapons/steel/1stpersonsteeldagger.nif,1stpersonsteeldagger
TestHDRBox02,00013F46,Test\TestHDRBrightRange01.nif,test/testhdrbrightrange01.nif,testhdrbrightrange01
NorRmSmAlcove01,00013F7B,Dungeons\Nordic\SmRooms\NorRmSmAlcove01.nif,dungeons/nordic/smrooms/norrmsmalcove01.nif,norrmsmalcove01
NorRmSmCorIn01,00013F7C,Dungeons\Nordic\SmRooms\NorRmSmCorIn01.nif,dungeons/nordic/smrooms/norrmsmcorin01.nif,norrmsmcorin01
NorRmSmCorInExSmL01,00013F7D,Dungeons\Nordic\SmRooms\NorRmSmCorInExSmL01.nif,dungeons/nordic/smrooms/norrmsmcorinexsml01.nif,norrmsmcorinexsml01
NorRmSmCorInExSmR01,00013F7E,Dungeons\Nordic\SmRooms\NorRmSmCorInExSmR01.nif,dungeons/nordic/smrooms/norrmsmcorinexsmr01.nif,norrmsmcorinexsmr01
NorRmSmCorOutL01,00013F7F,Dungeons\Nordic\SmRooms\NorRmSmCorOutL01.nif,dungeons/nordic/smrooms/norrmsmcoroutl01.nif,norrmsmcoroutl01
NorRmSmCorOutR01,00013F80,Dungeons\Nordic\SmRooms\NorRmSmCorOutR01.nif,dungeons/nordic/smrooms/norrmsmcoroutr01.nif,norrmsmcoroutr01
NorRmSmMid01,00013F81,Dungeons\Nordic\SmRooms\NorRmSmMid01.nif,dungeons/nordic/smrooms/norrmsmmid01.nif,norrmsmmid01
NorRmSmWallFront01,00013F82,Dungeons\Nordic\SmRooms\NorRmSmWallFront01.nif,dungeons/nordic/smrooms/norrmsmwallfront01.nif,norrmsmwallfront01
NorRmSmWallFront02,00013F83,Dungeons\Nordic\SmRooms\NorRmSmWallFront02.nif,dungeons/nordic/smrooms/norrmsmwallfront02.nif,norrmsmwallfront02
NorRmSmWallFrontExSm01,00013F84,Dungeons\Nordic\SmRooms\NorRmSmWallFrontExSm01.nif,dungeons/nordic/smrooms/norrmsmwallfrontexsm01.nif,norrmsmwallfrontexsm01
NorRmSmWallFrontWin01,00013F85,Dungeons\Nordic\SmRooms\NorRmSmWallFrontWin01.nif,dungeons/nordic/smrooms/norrmsmwallfrontwin01.nif,norrmsmwallfrontwin01
NorRmSmWallSide01,00013F86,Dungeons\Nordic\SmRooms\NorRmSmWallSide01.nif,dungeons/nordic/smrooms/norrmsmwallside01.nif,norrmsmwallside01
NorRmSmWallSide02,00013F87,Dungeons\Nordic\SmRooms\NorRmSmWallSide02.nif,dungeons/nordic/smrooms/norrmsmwallside02.nif,norrmsmwallside02
NorRmSmWallSideExSm01,00013F88,Dungeons\Nordic\SmRooms\NorRmSmWallSideExSm01.nif,dungeons/nordic/smrooms/norrmsmwallsideexsm01.nif,norrmsmwallsideexsm01
NorRmSmWallSideWin01,00013F89,Dungeons\Nordic\SmRooms\NorRmSmWallSideWin01.nif,dungeons/nordic/smrooms/norrmsmwallsidewin01.nif,norrmsmwallsidewin01
NorRmSmCorInExSmDbl01,00013F9C,Dungeons\Nordic\SmRooms\NorRmSmCorInExSmDbl01.nif,dungeons/nordic/smrooms/norrmsmcorinexsmdbl01.nif,norrmsmcorinexsmdbl01
NorHallSm1wayStairs128ExSm01,00013FAF,Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128ExSm01.nif,dungeons/nordic/smhalls/norhallsm1waystairs128exsm01.nif,norhallsm1waystairs128exsm01
NorHallSm1wayStairs128ExSm02,00013FB0,Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128ExSm02.nif,dungeons/nordic/smhalls/norhallsm1waystairs128exsm02.nif,norhallsm1waystairs128exsm02
NorRmSmMid02,00013FD1,Dungeons\Nordic\SmRooms\NorRmSmMid02.nif,dungeons/nordic/smrooms/norrmsmmid02.nif,norrmsmmid02
TreePineForestHollow01,00014055,Landscape\Trees\TreePineForestHollow01.nif,landscape/trees/treepineforesthollow01.nif,treepineforesthollow01
1stPersonSteelSword,000140EF,Weapons\Steel\1stPersonSteelSword.nif,weapons/steel/1stpersonsteelsword.nif,1stpersonsteelsword
NorPitMid01,0001419E,Dungeons\Nordic\Pits\NorPitMid01.nif,dungeons/nordic/pits/norpitmid01.nif,norpitmid01
NorPitWallFront01,0001419F,Dungeons\Nordic\Pits\NorPitWallFront01.nif,dungeons/nordic/pits/norpitwallfront01.nif,norpitwallfront01
NorPitWallFront02,000141A0,Dungeons\Nordic\Pits\NorPitWallFront02.nif,dungeons/nordic/pits/norpitwallfront02.nif,norpitwallfront02
NorPitWallSide01,000141A1,Dungeons\Nordic\Pits\NorPitWallSide01.nif,dungeons/nordic/pits/norpitwallside01.nif,norpitwallside01
NorPitWallSide02,000141A2,Dungeons\Nordic\Pits\NorPitWallSide02.nif,dungeons/nordic/pits/norpitwallside02.nif,norpitwallside02
NorPitCorInL01,000141A3,Dungeons\Nordic\Pits\NorPitCorInL01.nif,dungeons/nordic/pits/norpitcorinl01.nif,norpitcorinl01
NorPitCorInR01,000141A4,Dungeons\Nordic\Pits\NorPitCorInR01.nif,dungeons/nordic/pits/norpitcorinr01.nif,norpitcorinr01
1stPersonSteelMace,00014305,Weapons\Steel\1stPersonSteelMace.nif,weapons/steel/1stpersonsteelmace.nif,1stpersonsteelmace
DweFarm01Int,00014444,Dungeons\Dwemer\Clutter\DweFarm01Int.nif,dungeons/dwemer/clutter/dwefarm01int.nif,dwefarm01int
DweFarm02Int,0001446D,Dungeons\Dwemer\Clutter\DweFarm02Int.nif,dungeons/dwemer/clutter/dwefarm02int.nif,dwefarm02int
TreePineForestCutStump01,000145C4,Landscape\Trees\TreePineForestCutStump01.nif,landscape/trees/treepineforestcutstump01.nif,treepineforestcutstump01
CaveIShaftRDoorL04,000153C5,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorL04.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorl04.nif,caveishaftrdoorl04
CaveIShaftRDoorLB01,000153C6,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorLB01.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorlb01.nif,caveishaftrdoorlb01
CaveIShaftRDoorLB02,000153C7,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorLB02.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorlb02.nif,caveishaftrdoorlb02
HighPolyBasicBook03,000153D4,Clutter\Books\Book02\Character Assets\Book03.nif,clutter/books/book02/character assets/book03.nif,book03
CaveIShaftRDoorLB03,000153D5,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorLB03.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorlb03.nif,caveishaftrdoorlb03
CaveIShaftRDoorLB04,000153D7,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorLB04.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorlb04.nif,caveishaftrdoorlb04
CaveIShaftRStraight01,000153D8,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRStraight01.nif,dungeons/caves/ice/shaftrock/caveishaftrstraight01.nif,caveishaftrstraight01
CaveIShaftRTop01,000153D9,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRTop01.nif,dungeons/caves/ice/shaftrock/caveishaftrtop01.nif,caveishaftrtop01
CaveIShaftRTop01c,000153DA,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRTop01c.nif,dungeons/caves/ice/shaftrock/caveishaftrtop01c.nif,caveishaftrtop01c
CaveIShaftRWall01,000153DB,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRWall01.nif,dungeons/caves/ice/shaftrock/caveishaftrwall01.nif,caveishaftrwall01
CaveIShaftRWall02,000153DC,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRWall02.nif,dungeons/caves/ice/shaftrock/caveishaftrwall02.nif,caveishaftrwall02
CaveIShaftRWall03,000153DD,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRWall03.nif,dungeons/caves/ice/shaftrock/caveishaftrwall03.nif,caveishaftrwall03
CaveIShaftRWall04,000153DE,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRWall04.nif,dungeons/caves/ice/shaftrock/caveishaftrwall04.nif,caveishaftrwall04
CaveIShaftRBottom01,000153DF,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRBottom01.nif,dungeons/caves/ice/shaftrock/caveishaftrbottom01.nif,caveishaftrbottom01
CaveIShaftRDoor01,000153E0,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoor01.nif,dungeons/caves/ice/shaftrock/caveishaftrdoor01.nif,caveishaftrdoor01
CaveIShaftRDoor02,000153E1,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoor02.nif,dungeons/caves/ice/shaftrock/caveishaftrdoor02.nif,caveishaftrdoor02
CaveIShaftRDoor03,000153E3,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoor03.nif,dungeons/caves/ice/shaftrock/caveishaftrdoor03.nif,caveishaftrdoor03
CaveIShaftRDoor04,000153E4,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoor04.nif,dungeons/caves/ice/shaftrock/caveishaftrdoor04.nif,caveishaftrdoor04
CaveIShaftRDoorB01,000153E5,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorB01.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorb01.nif,caveishaftrdoorb01
CaveIShaftRDoorB02,000153E6,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorB02.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorb02.nif,caveishaftrdoorb02
CaveIShaftRDoorB03,000153E7,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorB03.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorb03.nif,caveishaftrdoorb03
CaveIShaftRDoorB04,000153E8,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorB04.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorb04.nif,caveishaftrdoorb04
CaveIShaftRDoorL01,000153E9,Dungeons\Caves\Ice\ShaftRock\CaveIShaftRDoorL01.nif,dungeons/caves/ice/shaftrock/caveishaftrdoorl01.nif,caveishaftrdoorl01
